,id:1-pv_input_voltage,id:1-pv_input_current,id:1-pv_output_voltage,id:1-pv_output_current,id:2-dcdc1_input_voltage,id:2-dcdc1_input_current,id:2-dcdc1_output_voltage,id:2-dcdc1_output_current,id:3-dcdc2_input_voltage,id:3-dcdc2_input_current,id:3-dcdc2_output_voltage,id:3-dcdc2_output_current,id:4-battery_voltage,id:4-battery_soc
117,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
118,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
119,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
120,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
121,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
122,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
123,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
124,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
125,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
126,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
127,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
128,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
129,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
130,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
131,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
132,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
133,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
134,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
135,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
136,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
137,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
138,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
139,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
140,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
141,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
142,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
143,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
144,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
145,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
146,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
147,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
148,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
149,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
150,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
